wavelength,flux
5176.076522,1.626126E-14
5179.031145,1.631864E-14
5181.985768,1.638046E-14
5184.940392,1.633225E-14
5187.895015,1.63415e-14
5190.849638,1.663467E-14
5193.804261,1.658299E-14
5196.758884,1.635397E-14
5199.713508,1.622294E-14
5202.668131,1.630016E-14
5205.622754,1.638844E-14
5208.577377,1.65339e-14
5211.532001,1.651091E-14
5214.486624,1.654763E-14
5217.441247,1.660415E-14
5220.39587,1.661569E-14
5223.350493,1.656524E-14
5226.305117,1.643807E-14
5229.25974,1.642101E-14
5232.214363,1.651793E-14
5235.168986,1.65085e-14
5238.12361,1.649373E-14
5241.078233,1.650133E-14
5244.032856,1.647222E-14
5246.987479,1.652657E-14
5249.942102,1.643106E-14
5252.896726,1.623562E-14
5255.851349,1.613048E-14
5258.805972,1.618127E-14
5261.760595,1.612743E-14
5264.715219,1.626839E-14
5267.669842,1.627059E-14
5270.624465,1.620149E-14
5273.579088,1.606206E-14
5276.533711,1.607968E-14
5279.488335,1.615116E-14
5282.442958,1.601321E-14
5285.397581,1.590152E-14
5288.352204,1.590976E-14
5291.306828,1.586198E-14
5294.261451,1.588728E-14
5297.216074,1.580699E-14
5300.170697,1.583649E-14
5303.12532,1.577485E-14
5306.079944,1.567271E-14
5309.034567,1.55983e-14
5311.98919,1.557787E-14
5314.943813,1.560448E-14
5317.898437,1.552629E-14
5320.85306,1.544938E-14
5323.807683,1.542391E-14
5326.762306,1.542347E-14
5329.716929,1.548189E-14
5332.671553,1.54812e-14
5335.626176,1.537443E-14
5338.580799,1.530162E-14
5341.535422,1.526776E-14
5344.490046,1.525395E-14
5347.444669,1.518928E-14
5350.399292,1.508886E-14
5353.353915,1.505423E-14
5356.308538,1.498863E-14
5359.263162,1.49022e-14
5362.217785,1.485767E-14
5365.172408,1.484421E-14
5368.127031,1.476104E-14
5371.081655,1.472926E-14
5374.036278,1.482507E-14
5376.990901,1.483744E-14
5379.945524,1.481052E-14
5382.900147,1.472408E-14
5385.854771,1.458417E-14
5388.809394,1.461014E-14
5391.764017,1.469134E-14
5394.71864,1.460512E-14
5397.673264,1.43344e-14
5400.627887,1.419131E-14
5403.58251,1.425502E-14
5406.537133,1.437647E-14
5409.491756,1.434654E-14
5412.44638,1.422352E-14
5415.401003,1.417794E-14
5418.355626,1.417536E-14
5421.310249,1.420719E-14
5424.264873,1.411623E-14
5427.219496,1.399446E-14
5430.174119,1.395026E-14
5433.128742,1.384075E-14
5436.083365,1.376956E-14
5439.037989,1.383271E-14
5441.992612,1.385024E-14
5444.947235,1.373852E-14
5447.901858,1.367662E-14
5450.856482,1.358857E-14
5453.811105,1.345623E-14
5456.765728,1.346744E-14
5459.720351,1.350683E-14
5462.674974,1.346045E-14
5465.629598,1.340497E-14
5468.584221,1.340119E-14
5471.538844,1.343768E-14
5474.493467,1.338864E-14
5477.448091,1.327186E-14
5480.402714,1.321057E-14
5483.357337,1.312693E-14
5486.31196,1.31005e-14
5489.266583,1.313329E-14
5492.221207,1.313571E-14
5495.17583,1.310625E-14
5498.130453,1.301503E-14
5501.085076,1.286939E-14
5504.0397,1.281133E-14
5506.994323,1.280319E-14
5509.948946,1.273271E-14
5512.903569,1.278231E-14
5515.858192,1.287437E-14
5518.812816,1.279264E-14
5521.767439,1.276557E-14
5524.722062,1.279435E-14
5527.676685,1.27145e-14
5530.631309,1.264863E-14
5533.585932,1.264345E-14
5536.540555,1.254446E-14
5539.495178,1.249209E-14
5542.449801,1.248399E-14
5545.404425,1.245024E-14
5548.359048,1.240494E-14
5551.313671,1.247838E-14
5554.268294,1.251592E-14
5557.222918,1.24096e-14
5560.177541,1.234224E-14
5563.132164,1.237334E-14
5566.086787,1.235596E-14
5569.04141,1.223407E-14
5571.996034,1.217962E-14
5574.950657,1.226203E-14
5577.90528,1.229375E-14
5580.859903,1.218871E-14
5583.814527,1.203239E-14
5586.76915,1.1897e-14
5589.723773,1.18609e-14
5592.678396,1.188672E-14
5595.633019,1.198435E-14
5598.587643,1.205363E-14
5601.542266,1.204026E-14
5604.496889,1.204671E-14
5607.451512,1.204023E-14
5610.406136,1.195313E-14
5613.360759,1.188181E-14
5616.315382,1.187309E-14
5619.270005,1.181987E-14
5622.224628,1.186022E-14
5625.179252,1.186854E-14
5628.133875,1.177614E-14
5631.088498,1.174821E-14
5634.043121,1.16931e-14
5636.997745,1.158635E-14
5639.952368,1.162531E-14
5642.906991,1.166015E-14
5645.861614,1.154455E-14
5648.816237,1.151833E-14
5651.770861,1.152528E-14
5654.725484,1.153611E-14
5657.680107,1.158269E-14
5660.63473,1.158517E-14
5663.589354,1.152976E-14
5666.543977,1.145186E-14
5669.4986,1.14258e-14
5672.453223,1.135729E-14
5675.407846,1.130115E-14
5678.36247,1.127249E-14
5681.317093,1.128097E-14
5684.271716,1.131265E-14
5687.226339,1.12855e-14
5690.180963,1.125174E-14
5693.135586,1.13377e-14
5696.090209,1.135484E-14
5699.044832,1.12645e-14
5701.999455,1.126277E-14
5704.954079,1.124784E-14
5707.908702,1.125193E-14
5710.863325,1.130054E-14
5713.817948,1.130383E-14
5716.772572,1.125176E-14
5719.727195,1.114769E-14
5722.681818,1.111095E-14
5725.636441,1.119567E-14
5728.591064,1.117863E-14
5731.545688,1.111015E-14
5734.500311,1.105869E-14
5737.454934,1.100975E-14
5740.409557,1.100705E-14
5743.364181,1.103259E-14
5746.318804,1.097175E-14
5749.273427,1.093346E-14
5752.22805,1.096885E-14
5755.182673,1.095824E-14
5758.137297,1.083497E-14
5761.09192,1.068564E-14
5764.046543,1.074702E-14
5767.001166,1.081888E-14
5769.95579,1.071073E-14
5772.910413,1.063105E-14
5775.865036,1.058386E-14
5778.819659,1.052319E-14
5781.774282,1.045943E-14
5784.728906,1.039332E-14
5787.683529,1.040508E-14
5790.638152,1.034454E-14
5793.592775,1.027541E-14
5796.547399,1.023749E-14
5799.502022,1.029872E-14
5802.456645,1.030852E-14
5805.411268,1.027033E-14
5808.365891,1.022248E-14
5811.320515,1.021727E-14
5814.275138,1.024674E-14
5817.229761,1.024539E-14
5820.184384,1.02331e-14
5823.139008,1.02256e-14
5826.093631,1.020733E-14
5829.048254,1.019432E-14
5832.002877,1.018433E-14
5834.9575,1.013288E-14
5837.912124,1.00682e-14
5840.866747,1.005966E-14
5843.82137,1.006285E-14
5846.775993,1.00557e-14
5849.730617,1.003077E-14
5852.68524,1.00142e-14
5855.639863,9.981478E-15
5858.594486,9.884598E-15
5861.549109,9.844243E-15
5864.503733,9.905485E-15
5867.458356,9.893502E-15
5870.412979,9.826782E-15
5873.367602,9.819475E-15
5876.322226,9.735961E-15
5879.276849,9.650731E-15
5882.231472,9.618819E-15
5885.186095,9.539634E-15
5888.140718,9.468519E-15
5891.095342,9.48099e-15
5894.049965,9.417968E-15
5897.004588,9.36831e-15
5899.959211,9.323963E-15
5902.913835,9.381152E-15
5905.868458,9.527906E-15
5908.823081,9.609576E-15
5911.777704,9.540238E-15
5914.732327,9.541386E-15
5917.686951,9.662185E-15
5920.641574,9.749525E-15
5923.596197,9.735004E-15
5926.55082,9.724381E-15
5929.505444,9.756113E-15
5932.460067,9.735483E-15
5935.41469,9.659217E-15
5938.369313,9.609511E-15
5941.323936,9.540716E-15
5944.27856,9.520458E-15
5947.233183,9.620372E-15
5950.187806,9.649443E-15
5953.142429,9.590979E-15
5956.097053,9.59662e-15
5959.051676,9.610878E-15
5962.006299,9.569714E-15
5964.960922,9.555193E-15
5967.915545,9.498199E-15
5970.870169,9.455118E-15
5973.824792,9.530328E-15
5976.779415,9.590924E-15
5979.734038,9.553733E-15
5982.688662,9.57659e-15
5985.643285,9.621739E-15
5988.597908,9.624912E-15
5991.552531,9.624615E-15
5994.507154,9.58898e-15
5997.461778,9.578697E-15
6000.416401,9.581076E-15
6003.371024,9.592425E-15
6006.325647,9.653882E-15
6009.280271,9.728537E-15
6012.234894,9.733668E-15
6015.189517,9.715772E-15
6018.14414,9.686482E-15
6021.098763,9.647937E-15
6024.053387,9.654542E-15
6027.00801,9.64642e-15
6029.962633,9.60336e-15
6032.917256,9.59405e-15
6035.87188,9.593756E-15
6038.826503,9.653745E-15
6041.781126,9.711233E-15
6044.735749,9.710702E-15
6047.690372,9.685386E-15
6050.644996,9.692115E-15
6053.599619,9.671311E-15
6056.554242,9.704515E-15
6059.508865,9.771832E-15
6062.463489,9.743744E-15
6065.418112,9.703633E-15
6068.372735,9.709464E-15
6071.327358,9.66374e-15
6074.281981,9.640119E-15
6077.236605,9.674771E-15
6080.191228,9.664355E-15
6083.145851,9.616085E-15
6086.100474,9.632687E-15
6089.055098,9.661824E-15
6092.009721,9.621415E-15
6094.964344,9.588858E-15
6097.918967,9.628799E-15
6100.87359,9.704369E-15
6103.828214,9.772087E-15
6106.782837,9.776058E-15
6109.73746,9.698061E-15
6112.692083,9.724878E-15
6115.646707,9.742848E-15
6118.60133,9.699711E-15
6121.555953,9.767488E-15
6124.510576,9.811475E-15
6127.465199,9.839618E-15
6130.419823,9.880465E-15
6133.374446,9.855218E-15
6136.329069,9.862099E-15
6139.283692,9.983876E-15
6142.238316,1.002158E-14
6145.192939,9.94815e-15
6148.147562,9.923658E-15
6151.102185,9.982596E-15
6154.056808,1.005092E-14
6157.011432,1.006366E-14
6159.966055,1.00461e-14
6162.920678,1.002757E-14
6165.875301,1.002441E-14
6168.829925,1.001857E-14
6171.784548,9.983246E-15
6174.739171,1.000143E-14
6177.693794,1.005907E-14
6180.648417,1.012694E-14
6183.603041,1.021712E-14
6186.557664,1.023538E-14
6189.512287,1.012241E-14
6192.46691,1.013234E-14
6195.421534,1.016078E-14
6198.376157,1.01457e-14
6201.33078,1.018315E-14
6204.285403,1.024412E-14
6207.240026,1.024958E-14
6210.19465,1.017851E-14
6213.149273,1.01371e-14
6216.103896,1.013703E-14
6219.058519,1.01094e-14
6222.013143,1.012814E-14
6224.967766,1.013608E-14
6227.922389,1.013118E-14
6230.877012,1.014003E-14
6233.831635,1.01226e-14
6236.786259,1.018826E-14
6239.740882,1.02303e-14
6242.695505,1.018007E-14
6245.650128,1.014104E-14
6248.604752,1.014966E-14
6251.559375,1.024265E-14
6254.513998,1.030464E-14
6257.468621,1.023749E-14
6260.423244,1.023042E-14
6263.377868,1.028024E-14
6266.332491,1.035007E-14
6269.287114,1.031813E-14
6272.241737,1.021557E-14
6275.196361,1.010737E-14
6278.150984,1.000387E-14
6281.105607,9.963062E-15
6284.06023,1.000532E-14
6287.014853,1.004173E-14
6289.969477,1.00698e-14
6292.9241,1.014674E-14
6295.878723,1.015904E-14
6298.833346,1.010189E-14
6301.78797,1.01938e-14
6304.742593,1.029458E-14
6307.697216,1.021391E-14
6310.651839,1.016338E-14
6313.606462,1.02049e-14
6316.561086,1.021948E-14
6319.515709,1.023922E-14
6322.470332,1.028869E-14
6325.424955,1.030617E-14
6328.379579,1.028364E-14
6331.334202,1.022775E-14
6334.288825,1.021421E-14
6337.243448,1.028158E-14
6340.198071,1.030236E-14
6343.152695,1.019969E-14
6346.107318,1.015499E-14
6349.061941,1.011393E-14
6352.016564,1.008755E-14
6354.971188,1.016531E-14
6357.925811,1.012522E-14
6360.880434,1.004818E-14
6363.835057,1.006838E-14
6366.78968,1.006583E-14
6369.744304,1.005965E-14
6372.698927,1.006185E-14
6375.65355,1.007372E-14
6378.608173,1.008587E-14
6381.562797,1.017616E-14
6384.51742,1.016157E-14
6387.472043,1.009617E-14
6390.426666,1.00441e-14
6393.381289,9.998867E-15
6396.335913,9.955233E-15
6399.290536,9.990987E-15
6402.245159,1.003253E-14
6405.199782,1.003589E-14
